Pop1,Pop2,gen_dist,geo_dist,color
LOB,MC,0.442857757,122.4684277,red
LOB,MD,0.597196592,154.1170193,purple
LOB,PG,0.644716684,199.0840482,red
LOB,PT,0.430133793,109.7515124,green
LOB,RL,0.58677604,157.021116,red
LOB,S100,0.529707599,39.45981481,green
LOB,S110,0.495770803,72.02856441,green
LOB,S8CR,0.392308116,62.16681896,green
LOB,S90,0.45327847,41.90636549,green
LOB,SOC,0.671169291,199.0778395,red
LOB,SPC,0.38766541,78.6660475,green
LOB,T1L,0.462359722,124.3937733,red
LOB,VFTG,0.504476446,154.952949,purple
LOB,VL1,0.480824276,156.3407246,red
LOB,VL2,0.555513259,160.4896046,red
LW,MC,0.344447947,67.99671667,red
LW,MD,0.631128231,121.0912908,purple
LW,PG,0.664415549,145.253079,red
LW,PT,0.343177573,60.52304399,green
LW,RL,0.542574262,97.10896561,red
LW,S100,0.492353231,27.98643433,green
LW,S110,0.414000827,34.67529788,green
LW,S8CR,0.385013428,39.77157875,green
LW,S90,0.417009744,30.70066791,green
LW,SOC,0.742835408,142.8125632,red
LW,SPC,0.365613866,50.57388142,green
LW,T1L,0.424301069,71.00685432,red
LW,VFTG,0.419149897,119.1181625,purple
LW,VL1,0.427959678,100.2124651,red
LW,VL2,0.494086716,104.5683897,red
MC,MD,0.580434138,158.7473052,brown
MC,PG,0.493350633,77.60157359,orange
MC,PT,0.236868319,16.51279252,red
MC,RL,0.473210092,39.54705071,orange
MC,S100,0.472770162,83.10403117,red
MC,S110,0.419615049,51.89668228,red
MC,S8CR,0.328084951,64.90908677,red
MC,S90,0.39959395,80.72785122,red
MC,SOC,0.585327927,76.6238441,orange
MC,SPC,0.303368635,54.11609823,red
MC,T1L,0.229916198,4.019128172,orange
MC,VFTG,0.42463,154.0531874,brown
MC,VL1,0.237481147,33.89877372,orange
MC,VL2,0.326095572,38.02134993,orange
MD,PG,0.77896599,214.349534,brown
MD,PT,0.650585036,163.0055647,purple
MD,RL,0.814142336,157.9535696,brown
MD,S100,0.740127826,142.4820298,purple
MD,S110,0.690547455,154.0364987,purple
MD,S8CR,0.496720361,160.8614243,purple
MD,S90,0.647963372,147.4925179,purple
MD,SOC,1.122207979,204.6998575,brown
MD,SPC,0.476930358,170.0723692,purple
MD,T1L,0.576926041,162.7618144,brown
MD,VFTG,0.185659796,7.327074144,blue
MD,VL1,0.547341611,174.5321599,brown
MD,VL2,0.737692921,178.0832495,brown
PG,PT,0.516418582,89.34982835,red
PG,RL,0.617833601,56.97887964,orange
PG,S100,0.762975127,160.0798438,red
PG,S110,0.700049291,127.2027064,red
PG,S8CR,0.552722713,138.6571618,red
PG,S90,0.667338179,157.1789096,red
PG,SOC,0.479128123,13.82588243,orange
PG,SPC,0.50682695,124.2778426,red
PG,T1L,0.564952508,75.11025025,orange
PG,VFTG,0.671661928,208.1901879,brown
PG,VL1,0.328495868,45.51419238,orange
PG,VL2,0.458513225,41.14512901,orange
PT,RL,0.472596794,56.03460412,red
PT,S100,0.477323128,70.96355308,green
PT,S110,0.396176658,37.88364817,green
PT,S8CR,0.338814674,49.97803071,green
PT,S90,0.405688672,67.85698841,green
PT,SOC,0.803395598,90.13179195,red
PT,SPC,0.312402465,37.92295662,green
PT,T1L,0.333326506,16.35149743,red
PT,VFTG,0.393284056,158.8972,purple
PT,VL1,0.260985117,48.41428754,red
PT,VL2,0.372735588,52.17638519,red
RL,S100,0.717393628,117.7364007,red
RL,S110,0.622354691,89.64834472,red
RL,S8CR,0.495805963,103.2203068,red
RL,S90,0.617538552,116.376081,red
RL,SOC,0.809883914,49.55295457,orange
RL,SPC,0.44387326,93.55182997,red
RL,T1L,0.558212802,40.13421505,orange
RL,VFTG,0.573400719,151.9938145,brown
RL,VL1,0.375330141,20.2332589,orange
RL,VL2,0.435292238,22.16510441,orange
S100,S110,0.566582966,34.06203725,green
S100,S8CR,0.503853887,28.03244477,green
S100,S90,0.540596653,5.802483406,green
S100,SOC,0.881152681,159.7277565,red
S100,SPC,0.489813472,44.56167289,green
S100,T1L,0.458861734,85.14659944,red
S100,VFTG,0.522868044,141.4675797,purple
